idx	name	unmapped	call_count	categories	first_line	first_context
198	EAR_COMP		1	var-assign	1324	fVar35 = (float)FUN_1400a5e00(local_508,0xc6);
199	TAIL_ALT	Y	2	var-assign	2818	iVar20 = FUN_1400a5e00(local_508,199);
200	PAT_SPLIT		1	var-assign	2894	fVar33 = (float)FUN_1400a5d20(local_508,200);
201	PAT_BELLY		2	var-assign	1506	fVar35 = (float)FUN_1400a5d20(local_508,0xc9);
202	PAT_STRIPE		1	var-assign	2906	fVar33 = (float)FUN_1400a5d20(local_508,0xca);
203	PAT_SPOT		1	var-assign	2910	fVar33 = (float)FUN_1400a5d20(local_508,0xcb);
204	PAT_PERLIN		1	var-assign	2918	fVar33 = (float)FUN_1400a5d20(local_508,0xcc);
205	PAT_PERLIN2		2	var-assign	2922	fVar33 = (float)FUN_1400a5d20(local_508,0xcd);
206	PAT_PERLIN_SIZE		1	var-assign	2926	fVar33 = (float)FUN_1400a5d20(local_508,0xce);
207	RAMPAGE	Y	1	conditional	3100	if ((param_1[0xfc] == 4.2039e-45) && (iVar15 = FUN_1400a5e00(local_508,0xcf), iVar15 != 0)) {
208	SPINAL_LOCO	Y	2	var-assign	2954	iVar20 = FUN_1400a5e00(local_508,0xd0);
209	BRAIN_SPASTIC	Y	0			
210	HIGH_INTELLECT	Y	1	var-assign	2930	iVar20 = FUN_1400a5e00(local_508,0xd2);
211	OMNIVORE		1	var-assign	3170	iVar15 = FUN_1400a5e00(local_508,0xd3);
212	LITTER_SIZE		1	var-assign	3166	fVar33 = (float)FUN_1400a5e00(local_508,0xd4);
213	OLD_AGE		1	var-assign	3174	iVar15 = FUN_1400a5e00(local_508,0xd5);
214	LIMP	Y	2	var-assign	764	fVar35 = (float)FUN_1400a5d20(local_508,0xd6);
215	NARCOLEPSY	Y	1	var-assign	2972	iVar20 = FUN_1400a5e00(local_508,0xd7);
216	FLU_IMMUNITY	Y	0			
217	TAIL_WAG	Y	1	var-assign	2982	iVar20 = FUN_1400a5e00(local_508,0xd9);
218	STIFF_JOINTS		1	var-assign	3136	fVar33 = (float)FUN_1400a5d20(local_508,0xda);
219	L_LEG_SIGNAL		1	var-assign	1596	fVar35 = (float)FUN_1400a5e00(local_508,0xdb);
220	L_LEG_FTOB_REACT		1	var-assign	1600	fVar35 = (float)FUN_1400a5e00(local_508,0xdc);
221	L_LEG_FTOB_EVENT		1	var-assign	1604	fVar35 = (float)FUN_1400a5e00(local_508,0xdd);
222	L_LEG_BTOF_REACT		1	var-assign	1608	fVar35 = (float)FUN_1400a5e00(local_508,0xde);
223	L_LEG_BTOF_EVENT		1	var-assign	1612	fVar35 = (float)FUN_1400a5e00(local_508,0xdf);
